symbol,score,close,date
TASA4,-1.2500,4.72,2025-08-18
TEND3,0.2500,21.55,2025-08-18
TGMA3,0.2500,36.52,2025-08-18
TIMS3,2.5000,22.49,2025-08-18
TOTS3,-2.0000,42.20,2025-08-18
TTEN3,2.5000,14.41,2025-08-18
TUPY3,-2.2500,14.89,2025-08-18
UGPA3,2.5000,17.86,2025-08-18
UNIP6,2.2500,58.85,2025-08-18
USIM5,0.0000,4.11,2025-08-18
VALE3,-2.2500,53.20,2025-08-18
VAMO3,-2.2500,3.85,2025-08-18
VBBR3,-2.2500,20.88,2025-08-18
VIVA3,2.2500,27.81,2025-08-18
VIVT3,2.5000,33.94,2025-08-18
VLID3,1.7500,21.33,2025-08-18
VULC3,0.5000,20.15,2025-08-18
VVEO3,-2.5000,0.87,2025-08-18
WEGE3,0.2500,36.41,2025-08-18
YDUQ3,2.2500,13.24,2025-08-18
